Timeout,Transitions,Energy
0.0,198,0.693480168
0.1,198,0.693747765
0.2,198,0.693961302
0.3,198,0.694196463
0.4,198,0.694466763
0.5,198,0.69473436
0.6,198,0.695001957
0.7,198,0.695269554
0.8,198,0.695537151
0.9,198,0.695804748
1.0,198,0.696072345
2.0,198,0.698745612
3.0,198,0.701421582
4.0,198,0.704097552
5.0,198,0.706776225
6.0,198,0.709452195
7.0,198,0.712128165
8.0,198,0.714804135
9.0,198,0.717480105
10.0,198,0.720156075
11.0,198,0.722832045
12.0,198,0.725508015
13.0,198,0.728183985
14.0,198,0.730859955
15.0,198,0.733535925
16.0,198,0.736211895
17.0,198,0.738887865
18.0,198,0.741563835
19.0,198,0.744239805
20.0,198,0.746913072
21.0,198,0.749589042
22.0,198,0.752265012
23.0,198,0.754940982
24.0,198,0.757616952
25.0,198,0.760292922
26.0,198,0.762968892
27.0,198,0.765644862
28.0,198,0.768320832
29.0,198,0.770996802
30.0,198,0.773672772
31.0,198,0.776348742
32.0,198,0.779024712
33.0,198,0.781700682
34.0,198,0.784376652
35.0,198,0.787052622
36.0,198,0.789728592
37.0,198,0.792404562
38.0,198,0.795080532
39.0,198,0.797756502
40.0,198,0.800432472
41.0,198,0.803108442
42.0,198,0.805784412
43.0,198,0.808460382
44.0,198,0.811136352
45.0,198,0.813812322
46.0,198,0.816488292
47.0,198,0.819164262
48.0,198,0.821840232
49.0,198,0.824516202
50.0,198,0.827192172
51.0,198,0.829868142
52.0,198,0.832544112
53.0,198,0.835220082
54.0,198,0.837896052
55.0,198,0.840572022
56.0,198,0.843247992
57.0,198,0.8459239619
58.0,198,0.8485999319
59.0,198,0.8512759019
60.0,198,0.8539518719
61.0,198,0.8566278419
62.0,198,0.8593038119
63.0,198,0.8619797819
64.0,198,0.8646557519
65.0,198,0.8673317219
66.0,198,0.8700076919
67.0,198,0.8726836619
68.0,198,0.8753596319
69.0,198,0.8780356019
70.0,198,0.8807115719
71.0,198,0.8833875419
72.0,198,0.8860635119
73.0,198,0.8887394819
74.0,198,0.8914154519
75.0,198,0.8940914219
76.0,198,0.8967700949
77.0,196,0.8994130059
78.0,196,0.9020619459
79.0,196,0.9047108859
80.0,194,0.9073267669
81.0,192,0.9099156179
82.0,188,0.9124470829
83.0,184,0.9149217849
84.0,184,0.9174085449
85.0,184,0.9198953049
86.0,180,0.9223186499
87.0,178,0.9247182909
88.0,166,0.9269418249
89.0,164,0.9291522559
90.0,160,0.9313053009
91.0,160,0.9334677009
92.0,160,0.9356301009
93.0,156,0.9377398979
94.0,140,0.9396053899
95.0,124,0.9413249199
96.0,102,0.9427506569
97.0,82,0.9439499649
98.0,64,0.9449093289
99.0,58,0.9457183599
100.0,56,0.9464934979
101.0,54,0.9472389029
102.0,52,0.9479572779
103.0,48,0.9486263759
104.0,42,0.9492351569
105.0,42,0.9498027869
106.0,42,0.9503704169
107.0,36,0.9508821179
108.0,36,0.9513686579
109.0,30,0.9518019719
110.0,28,0.9521959869
111.0,26,0.9525629719
112.0,24,0.9528921149
113.0,24,0.9532164749
114.0,24,0.9535408349
115.0,22,0.9538537599
116.0,22,0.9541510899
117.0,22,0.9544484199
118.0,20,0.9547235029
119.0,20,0.9549938029
120.0,20,0.9552641029
121.0,20,0.9555344029
122.0,20,0.9558047029
123.0,20,0.9560750029
124.0,20,0.9563453029
125.0,20,0.9566156029
126.0,20,0.9568859029
127.0,20,0.9571562029
128.0,20,0.9574265029
129.0,20,0.9576968029
130.0,20,0.9579671029
131.0,20,0.9582374029
132.0,20,0.9585077029
133.0,20,0.9587780029
134.0,20,0.9590483029
135.0,20,0.9593186029
136.0,20,0.9595889029
137.0,20,0.9598592029
138.0,20,0.9601295029
139.0,20,0.9603998029
140.0,20,0.9606701029
141.0,20,0.9609404029
142.0,20,0.9612107029
143.0,20,0.9614810029
144.0,20,0.9617513029
145.0,20,0.9620216029
146.0,20,0.9622919029
147.0,20,0.9625622029
148.0,20,0.9628325029
149.0,20,0.9631028029
150.0,20,0.9633731029
151.0,20,0.9636434029
152.0,20,0.9639137029
153.0,20,0.9641840029
154.0,20,0.9644543029
155.0,20,0.9647246029
156.0,20,0.9649949029
157.0,20,0.9652652029
158.0,20,0.9655355029
159.0,20,0.9658058029
160.0,20,0.9660761029
161.0,20,0.9663464029
162.0,20,0.9666167029
163.0,20,0.9668870029
164.0,20,0.9671573029
165.0,20,0.9674276029
166.0,20,0.9676979029
167.0,20,0.9679682029
168.0,20,0.9682385029
169.0,20,0.9685088029
170.0,20,0.9687791029
171.0,20,0.9690494029
172.0,20,0.9693197029
173.0,20,0.9695900029
174.0,20,0.9698603029
175.0,20,0.9701306029
176.0,20,0.9704009029
177.0,20,0.9706712029
178.0,20,0.9709415029
179.0,20,0.9712118029
180.0,20,0.9714821029
181.0,20,0.9717524029
182.0,20,0.9720227029
183.0,20,0.9722930029
184.0,20,0.9725633029
185.0,20,0.9728336029
186.0,20,0.9731039029
187.0,20,0.9733742029
188.0,20,0.9736445029
189.0,20,0.9739148029
190.0,20,0.9741851029
191.0,20,0.9744554029
192.0,20,0.9747257029
193.0,20,0.9749960029
194.0,20,0.9752663029
195.0,20,0.9755366029
196.0,20,0.9758069029
197.0,20,0.9760772029
198.0,20,0.9763475029
199.0,20,0.9766178029
200.0,20,0.9768881029
201.0,20,0.9771584029
202.0,20,0.9774287029
203.0,20,0.9776990029
204.0,20,0.9779693029
205.0,20,0.9782396029
206.0,20,0.9785099029
207.0,20,0.9787802029
208.0,20,0.9790505029
209.0,20,0.9793208029
210.0,20,0.9795911029
211.0,20,0.9798614029
212.0,20,0.9801317029
213.0,20,0.9804020029
214.0,20,0.9806723029
215.0,20,0.9809426029
216.0,20,0.9812129029
217.0,20,0.9814832029
218.0,20,0.9817535029
219.0,20,0.9820238029
220.0,20,0.9822941029
221.0,20,0.9825644029
222.0,20,0.9828347029
223.0,20,0.9831050029
224.0,20,0.9833753029
225.0,20,0.9836456029
226.0,20,0.9839159029
227.0,20,0.9841862029
228.0,20,0.9844565029
229.0,20,0.9847268029
230.0,20,0.9849971029
231.0,20,0.9852674029
232.0,20,0.9855377029
233.0,20,0.9858080029
234.0,20,0.9860783029
235.0,20,0.9863486029
236.0,20,0.9866189029
237.0,20,0.9868892029
238.0,20,0.9871595029
239.0,20,0.9874298029
240.0,20,0.9877001029
241.0,20,0.9879704029
242.0,20,0.9882407029
243.0,20,0.9885110029
244.0,20,0.9887813029
245.0,20,0.9890516029
246.0,20,0.9893219029
247.0,20,0.9895922029
248.0,20,0.9898625029
249.0,20,0.9901328029
250.0,20,0.9904031029
251.0,20,0.9906734029
252.0,20,0.9909437029
253.0,20,0.9912140029
254.0,20,0.9914843029
255.0,20,0.9917546029
256.0,20,0.9920249029
257.0,20,0.9922952029
258.0,20,0.9925655029
259.0,20,0.9928358029
260.0,20,0.9931061029
261.0,20,0.9933764029
262.0,20,0.9936467029
263.0,20,0.9939170029
264.0,20,0.9941873029
265.0,20,0.9944576029
266.0,20,0.9947279029
267.0,20,0.9949982029
268.0,20,0.9952685029
269.0,20,0.9955388029
270.0,20,0.9958091029
271.0,20,0.9960794029
272.0,20,0.9963497029
273.0,20,0.9966200029
274.0,20,0.9968903029
275.0,20,0.9971606029
276.0,20,0.9974309029
277.0,20,0.9977012029
278.0,20,0.9979715029
279.0,20,0.9982418029
280.0,20,0.9985121029
281.0,20,0.9987824029
282.0,20,0.9990527029
283.0,20,0.9993230029
284.0,20,0.9995933029
285.0,20,0.9998636029
286.0,20,1.0001339029
287.0,20,1.0004042029
288.0,20,1.0006745029
289.0,20,1.0009448029
290.0,20,1.0012151029
291.0,20,1.0014854029
292.0,20,1.0017557029
293.0,20,1.0020260029
294.0,20,1.0022963029
295.0,20,1.0025666029
296.0,20,1.0028369029
297.0,20,1.0031072029
298.0,20,1.0033775029
299.0,20,1.0036478029
300.0,20,1.0039181029
301.0,20,1.0041884029
302.0,20,1.0044559999
303.0,20,1.0047262999
304.0,20,1.0049965999
305.0,20,1.0052668999
306.0,20,1.0055371999
307.0,20,1.0058074999
308.0,20,1.0060777999
309.0,20,1.0063480999
310.0,20,1.0066183999
311.0,20,1.0068886999
312.0,20,1.0071589999
313.0,20,1.0074292999
314.0,20,1.0076995999
315.0,20,1.0079698999
316.0,20,1.0082401999
317.0,20,1.0085104999
318.0,20,1.0087807999
319.0,20,1.0090510999
320.0,20,1.0093213999
321.0,20,1.0095916999
322.0,20,1.0098619999
323.0,20,1.0101322999
324.0,20,1.0104025999
325.0,20,1.0106728999
326.0,20,1.0109431999
327.0,20,1.0112134999
328.0,20,1.0114837999
329.0,20,1.0117540999
330.0,20,1.0120243999
331.0,20,1.0122946999
332.0,20,1.0125649999
333.0,20,1.0128352999
334.0,20,1.0131055999
