Timeout,Transitions,Energy
0.0,198,0.3685548779
5.0,198,0.3820870469
10.0,198,0.3957044969
20.0,198,0.4229366459
40.0,198,0.4774064459
80.0,184,0.5716452409
85.0,166,0.5658047749
90.0,144,0.5546239859
95.0,102,0.5216906309
100.0,56,0.4822010109
105.0,38,0.4681346949
110.0,26,0.4588344189
115.0,22,0.4566907579
120.0,20,0.4561264869
125.0,20,0.4575019869
250.0,20,0.4918894869
500.0,20,0.5606617359
1000.0,18,0.6960271259
1005.0,18,0.6972650759
2010.0,18,0.9460930258
4020.0,18,1.4437461752
8040.0,18,2.439057975
16080.0,18,4.4296815749
32160.0,18,8.4109342777
64320.0,18,16.3734286743
128640.0,0,30.1388163556
