Timeout,Transitions,Energy
0.0,170,0.69799532
0.1,170,0.698225075
0.2,168,0.698392038
0.3,160,0.698503072
0.4,160,0.698711203
0.5,152,0.698879
0.6,150,0.699067587
0.7,150,0.699262203
0.8,150,0.699456819
0.9,142,0.699616507
1.0,138,0.699788253
2.0,128,0.701531276
3.0,82,0.702679237
4.0,18,0.703202376
5.0,18,0.703445646
6.0,18,0.703688916
7.0,18,0.703932186
8.0,18,0.704175456
9.0,18,0.704418726
10.0,18,0.704661996
11.0,18,0.704905266
12.0,18,0.705148536
13.0,18,0.705391806
14.0,18,0.705635076
15.0,18,0.705878346
16.0,18,0.706121616
17.0,18,0.706364886
18.0,18,0.706608156
19.0,18,0.706851426
20.0,18,0.707094696
21.0,18,0.707337966
22.0,18,0.707581236
23.0,18,0.707824506
24.0,18,0.708067776
25.0,18,0.708311046
26.0,18,0.708554316
27.0,18,0.708797586
28.0,18,0.709040856
29.0,18,0.709284126
30.0,18,0.709527396
31.0,18,0.709770666
32.0,18,0.710013936
33.0,18,0.710257206
34.0,18,0.710500476
35.0,18,0.710743746
36.0,18,0.710987016
37.0,18,0.711230286
38.0,18,0.711473556
39.0,18,0.711716826
40.0,18,0.711960096
41.0,18,0.712203366
42.0,18,0.712446636
43.0,18,0.712689906
44.0,18,0.712933176
45.0,18,0.713176446
46.0,18,0.713419716
47.0,18,0.713662986
48.0,18,0.713906256
49.0,18,0.714149526
50.0,18,0.714392796
51.0,18,0.714636066
52.0,18,0.714879336
53.0,18,0.715122606
54.0,18,0.715365876
55.0,18,0.715609146
56.0,18,0.715852416
57.0,18,0.716095686
58.0,18,0.716338956
59.0,18,0.716582226
60.0,18,0.716825496
61.0,18,0.717068766
62.0,18,0.717312036
63.0,18,0.717555306
64.0,18,0.717798576
65.0,18,0.718041846
66.0,18,0.718285116
67.0,18,0.718528386
68.0,18,0.718771656
69.0,18,0.719014926
70.0,18,0.719258196
71.0,18,0.719501466
72.0,18,0.719744736
73.0,18,0.719988006
74.0,18,0.720231276
75.0,18,0.720474546
76.0,18,0.720717816
77.0,18,0.720961086
78.0,18,0.721204356
79.0,18,0.721447626
80.0,18,0.721690896
81.0,18,0.721934166
82.0,18,0.722177436
83.0,18,0.722420706
84.0,18,0.722663976
85.0,18,0.722907246
86.0,18,0.723150516
87.0,18,0.723393786
88.0,18,0.723637056
89.0,18,0.723880326
90.0,18,0.724123596
91.0,18,0.724366866
92.0,18,0.724610136
93.0,18,0.724853406
94.0,18,0.725096676
95.0,18,0.725339946
96.0,18,0.725583216
97.0,18,0.725826486
98.0,18,0.726069756
99.0,18,0.726313026
100.0,18,0.726556296
101.0,18,0.726799566
102.0,18,0.727042836
103.0,18,0.727286106
104.0,18,0.727529376
105.0,18,0.727772646
106.0,18,0.728015916
107.0,18,0.728259186
108.0,18,0.728502456
109.0,18,0.728745726
110.0,18,0.728988996
111.0,18,0.729232266
112.0,18,0.729475536
113.0,18,0.729718806
114.0,18,0.729962076
115.0,18,0.730205346
116.0,18,0.730448616
117.0,18,0.730691886
118.0,18,0.730935156
119.0,18,0.731178426
120.0,18,0.731421696
121.0,18,0.731664966
122.0,18,0.731908236
123.0,18,0.732151506
124.0,18,0.732394776
125.0,18,0.732638046
126.0,18,0.732881316
127.0,18,0.733124586
128.0,18,0.733367856
129.0,18,0.733611126
130.0,18,0.733854396
131.0,18,0.734097666
132.0,18,0.734340936
133.0,18,0.734584206
134.0,18,0.734827476
135.0,18,0.735070746
136.0,18,0.735314016
137.0,18,0.735557286
138.0,18,0.735800556
139.0,18,0.736043826
140.0,18,0.736287096
141.0,18,0.736530366
142.0,18,0.736773636
143.0,18,0.737016906
144.0,18,0.737260176
145.0,18,0.737503446
146.0,18,0.737746716
147.0,18,0.737989986
148.0,18,0.738233256
149.0,18,0.738476526
150.0,18,0.738719796
151.0,18,0.738963066
152.0,18,0.739206336
153.0,18,0.739449606
154.0,18,0.739692876
155.0,18,0.739936146
156.0,18,0.740179416
157.0,18,0.740422686
158.0,18,0.740665956
159.0,18,0.740909226
160.0,18,0.741152496
161.0,18,0.741395766
162.0,18,0.741639036
163.0,18,0.741882306
164.0,18,0.742125576
165.0,18,0.742368846
166.0,18,0.742612116
167.0,18,0.742855386
168.0,18,0.743098656
169.0,18,0.743341926
170.0,18,0.743585196
171.0,18,0.743828466
172.0,18,0.744071736
173.0,18,0.744315006
174.0,18,0.744558276
175.0,18,0.744801546
176.0,18,0.745044816
177.0,18,0.745288086
178.0,18,0.745531356
179.0,18,0.745774626
180.0,18,0.746017896
181.0,18,0.746261166
182.0,18,0.746504436
183.0,18,0.746747706
184.0,18,0.746990976
185.0,18,0.747234246
186.0,18,0.747477516
187.0,18,0.747720786
188.0,18,0.747964056
189.0,18,0.748207326
190.0,18,0.748450596
191.0,18,0.748693866
192.0,18,0.748937136
193.0,18,0.749180406
194.0,18,0.749423676
195.0,18,0.749666946
196.0,18,0.749910216
197.0,18,0.750153486
198.0,18,0.750396756
199.0,18,0.750640026
200.0,18,0.750883296
201.0,18,0.751126566
202.0,18,0.751369836
203.0,18,0.751613106
204.0,18,0.751856376
205.0,18,0.752099646
206.0,18,0.752342916
207.0,18,0.752586186
208.0,18,0.752829456
209.0,18,0.753072726
210.0,18,0.753315996
211.0,18,0.753559266
212.0,18,0.753802536
213.0,18,0.754045806
214.0,18,0.754289076
215.0,18,0.754532346
216.0,18,0.754775616
217.0,18,0.755018886
218.0,18,0.755262156
219.0,18,0.755505426
220.0,18,0.755748696
221.0,18,0.755991966
222.0,18,0.756235236
223.0,18,0.756478506
224.0,18,0.756721776
225.0,18,0.756965046
226.0,18,0.757208316
227.0,18,0.757451586
228.0,18,0.757694856
229.0,18,0.757938126
230.0,18,0.758181396
231.0,18,0.758424666
232.0,18,0.758667936
233.0,18,0.758911206
234.0,18,0.759154476
