Timeout,Transitions,Energy
0.0,170,0.69799532
0.8,150,0.699456819
1.6,132,0.700848663
2.4000000000000004,122,0.7021538
3.2,82,0.702884665
4.0,18,0.703202376
4.800000000000001,18,0.703396992
9.6,18,0.704564688
19.200000000000003,18,0.70690008
38.400000000000006,18,0.711570864
76.80000000000001,18,0.720912432
153.60000000000002,18,0.739595568
307.20000000000005,18,0.77696184
614.4000000000001,18,0.8516943839
1228.8000000000002,18,1.0011621749
2457.6000000000004,18,1.3000923508
4915.200000000001,18,1.8979499998
9830.4,18,3.0936707045
19660.800000000003,18,5.4851148162
39321.600000000006,18,10.2680003337
78643.20000000001,18,19.8337632609
157286.40000000002,0,29.8791003557
