iteration,power_saved_pct,distortion_pct,l_gamma,chroma_scale,brightness,contrast,blue_reduction,lum_red_factor
1,41.2962,6.8476,1.118388415749133,0.9884762436765682,-0.17132956654482057,-0.10198122304973987,0,0.9960513385132124
2,37.6636,6.431,1.199052493035318,0.8652109714729377,-0.13464917928206882,-0.08396700650067793,0,0.9917510514607588
3,22.2827,3.6552,1.1994557544118543,0.9810649794409996,-0.011763515582654094,-0.14331084911807324,0,0.9999710537804487
4,41.3979,7.1522,1.1883379610241418,0.8729301956941613,-0.07637120157620927,-0.18296258733096793,0,0.9031361644914038
5,14.6996,2.8146,1.0308990056147678,0.8682764763406471,-0.039344664793637685,-0.030028054397592457,0,0.9449712899601529
6,31.6202,5.6321,1.0255152934761305,0.8405224690768349,-0.13084874037928465,-0.0401605390700987,0,0.9260453516346727
7,31.9906,5.6589,1.1152283945961567,0.8159215224257514,-0.04532168140639606,-0.050668946122041064,0,0.8056742107132095
8,28.7348,4.7817,1.1025116495753933,0.9267003819523943,-0.029129087076216253,-0.043383255334420584,0,0.8110552581457329
9,26.9941,4.8808,1.1051670969667373,0.8259919739198341,-0.0762078293022957,-0.05770009426632178,0,0.9331654933428488
10,23.2189,4.3308,1.0651219986685727,0.8361646358051672,-0.036701895697706044,-0.10391776695665128,0,0.9137886985947798
