index,air_act,meth_act,temp_act,mic_act,battery_life_s
1,0,0,0,0,407424
2,0,0,0,10,407424
3,0,0,0,20,407424
4,0,0,0,30,407424
5,0,0,0,40,407424
6,0,0,0,50,407424
7,0,0,0,60,407424
8,0,0,0,70,407424
9,0,0,0,80,407424
10,0,0,0,90,407424
11,0,0,0,100,407424
12,0,0,10,0,407424
13,0,0,10,10,407424
14,0,0,10,20,407424
15,0,0,10,30,407424
16,0,0,10,40,407424
17,0,0,10,50,407424
18,0,0,10,60,407424
19,0,0,10,70,407424
20,0,0,10,80,407424
21,0,0,10,90,407424
22,0,0,10,100,407424
23,0,0,20,0,407424
24,0,0,20,10,407424
25,0,0,20,20,407424
26,0,0,20,30,407424
27,0,0,20,40,407424
28,0,0,20,50,407424
29,0,0,20,60,407424
30,0,0,20,70,407424
31,0,0,20,80,407424
32,0,0,20,90,407424
33,0,0,20,100,407424
34,0,0,30,0,407424
35,0,0,30,10,407424
36,0,0,30,20,407424
37,0,0,30,30,407424
38,0,0,30,40,407424
39,0,0,30,50,407424
40,0,0,30,60,407424
41,0,0,30,70,407424
42,0,0,30,80,407424
43,0,0,30,90,407424
44,0,0,30,100,407424
45,0,0,40,0,407424
46,0,0,40,10,407424
47,0,0,40,20,407424
48,0,0,40,30,407424
49,0,0,40,40,407424
50,0,0,40,50,407424
51,0,0,40,60,407424
52,0,0,40,70,407424
53,0,0,40,80,407424
54,0,0,40,90,407424
55,0,0,40,100,407424
56,0,0,50,0,407424
57,0,0,50,10,407424
58,0,0,50,20,407424
59,0,0,50,30,407424
60,0,0,50,40,407424
61,0,0,50,50,407424
62,0,0,50,60,407424
63,0,0,50,70,407424
64,0,0,50,80,407424
65,0,0,50,90,407424
66,0,0,50,100,407424
67,0,0,60,0,407424
68,0,0,60,10,407424
69,0,0,60,20,407424
70,0,0,60,30,407424
71,0,0,60,40,407424
72,0,0,60,50,407424
73,0,0,60,60,407424
74,0,0,60,70,407424
75,0,0,60,80,407424
76,0,0,60,90,407424
77,0,0,60,100,407424
78,0,0,70,0,407424
79,0,0,70,10,407424
80,0,0,70,20,407424
81,0,0,70,30,407424
82,0,0,70,40,407424
83,0,0,70,50,407424
84,0,0,70,60,407424
85,0,0,70,70,407424
86,0,0,70,80,407424
87,0,0,70,90,407424
88,0,0,70,100,407424
89,0,0,80,0,407424
90,0,0,80,10,407424
91,0,0,80,20,407424
92,0,0,80,30,407424
93,0,0,80,40,407424
94,0,0,80,50,407424
95,0,0,80,60,407424
96,0,0,80,70,407424
97,0,0,80,80,407424
98,0,0,80,90,407424
99,0,0,80,100,407424
100,0,0,90,0,407424
101,0,0,90,10,407424
102,0,0,90,20,407424
103,0,0,90,30,407424
104,0,0,90,40,407424
105,0,0,90,50,407424
106,0,0,90,60,407424
107,0,0,90,70,407424
108,0,0,90,80,407424
109,0,0,90,90,407424
110,0,0,90,100,407424
111,0,0,100,0,407424
112,0,0,100,10,407424
113,0,0,100,20,407424
114,0,0,100,30,407424
115,0,0,100,40,407424
116,0,0,100,50,407424
117,0,0,100,60,407424
118,0,0,100,70,407424
119,0,0,100,80,407424
120,0,0,100,90,407424
121,0,0,100,100,407424
122,0,10,0,0,407424
123,0,10,0,10,407424
124,0,10,0,20,407424
125,0,10,0,30,407424
126,0,10,0,40,407424
127,0,10,0,50,407424
128,0,10,0,60,407424
129,0,10,0,70,407424
130,0,10,0,80,407424
131,0,10,0,90,407424
132,0,10,0,100,407424
133,0,10,10,0,407424
134,0,10,10,10,407424
135,0,10,10,20,407424
136,0,10,10,30,407424
137,0,10,10,40,407424
138,0,10,10,50,407424
139,0,10,10,60,407424
140,0,10,10,70,407424
141,0,10,10,80,407424
142,0,10,10,90,407424
143,0,10,10,100,407424
144,0,10,20,0,407424
145,0,10,20,10,407424
146,0,10,20,20,407424
147,0,10,20,30,407424
148,0,10,20,40,407424
149,0,10,20,50,407424
150,0,10,20,60,407424
151,0,10,20,70,407424
152,0,10,20,80,407424
153,0,10,20,90,407424
154,0,10,20,100,407424
155,0,10,30,0,407424
156,0,10,30,10,407424
157,0,10,30,20,407424
158,0,10,30,30,407424
159,0,10,30,40,407424
